model,id,title,authors
book.book,880,Pompeii,Robert   Harris
book.book,888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt
book.book,890,Of Mice and Men,John Steinbeck
book.book,900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss
book.book,902,The Westing Game,Ellen Raskin
book.book,903,The Egypt Game,Zilpha Keatley Snyder
book.book,929,Memoirs of a Geisha,Arthur Golden
book.book,930,Memoirs of a Geisha,Arthur Golden
book.book,931,Memoirs of a Geisha,Arthur Golden
book.book,932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden
book.book,933,Memoirs of a Geisha,Arthur Golden
book.book,935,Geisha of Gion,Mineko Iwasaki/Rande Brown
book.book,941,Love As A Foreign Language #5,J. Torres/Eric  Kim
book.book,944,Jungle Love,Margaret Johnson/Philip Prowse
book.book,955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman
book.book,960,Angels & Demons (Robert Langdon  #1),Dan Brown
book.book,965,Ángeles y demonios (Robert Langdon  #1),Dan Brown
book.book,966,Angeles & Demonios,Dan Brown/Raúl Amundaray
book.book,968,The Da Vinci Code (Robert Langdon  #2),Dan Brown
book.book,969,The Da Vinci Code,Dan Brown
book.book,972,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche
book.book,975,Deception Point,Dan Brown
book.book,977,Deception Point,Dan Brown
book.book,980,Deception Point,Dan Brown
book.book,987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish
book.book,998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko
book.book,1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill
book.book,1007,Think and Grow Rich,Napoleon Hill
book.book,1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason
book.book,1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins
book.book,1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz
book.book,1052,The Richest Man in Babylon,George S. Clason
book.book,1053,The Richest Man in Babylon,George S. Clason
book.book,1059,Shibumi,Trevanian/Gisela Stege
book.book,1067,1776,David McCullough
book.book,1068,1776,Peter  Stone/Sherman Edwards
book.book,1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison
book.book,1078,The Good Earth (House of Earth  #1),Pearl S. Buck
book.book,1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren
book.book,1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser
book.book,1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser
book.book,1103,Snow Flower and the Secret Fan,Lisa See
book.book,1110,The Broker,John Grisham
book.book,1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro
book.book,1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey
book.book,1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso
book.book,1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford
book.book,1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips
book.book,1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher
book.book,1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne
book.book,1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry
book.book,1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus
book.book,1169,Monkey Business,Sarah Mlynowski
book.book,1171,Liar's Poker,Michael   Lewis
book.book,1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell
book.book,1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark
book.book,1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson
book.book,1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis
book.book,1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson
book.book,1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay
book.book,1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay
book.book,1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay
book.book,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner
book.book,1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner
book.book,1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner
book.book,1218,The Last Assassin (John Rain  #5),Barry Eisler
book.book,1226,Life of Pi,Yann Martel
book.book,1230,L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel
book.book,1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer
book.book,1241,A Million Little Pieces,James Frey
book.book,1242,A Million Little Pieces of Feces,Python Bonkers
book.book,1243,A Million Little Lies,James Pinocchio/Pablo Fenjves
book.book,1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner
